Queries,,Model,Article1/Ranking,Article2/Ranking,Article3/Ranking,Article4/Ranking,Article5/Ranking,Article6/Ranking,Article7/Ranking,Article8/Ranking,Article9/Ranking,Article10/Ranking,Article11/Ranking,Article12/Ranking,"Non-parametric (Friedman, Nemenyi)"
"A correction notice is issued over a Facebook post by Brad Bowyer, the first time it was done under POFMA. He has since complied with it.",2,BWE-Agg-IDF,0.7597818395968666,0.41810359308535805,0.5432194250151781,0.47809057886425943,0.39690626272406143,0.34656847405541485,0.5065476771802119,0.20012273271106742,0.7155804994006901,0.40954415728998644,0.3546176035286595,0.5580779843919094,0.3333333333333333
"A correction notice is issued over a Facebook post by Brad Bowyer, the first time it was done under POFMA. He has since complied with it.",3,LASER,0.4265266538238009,0.6548454488384228,0.5968297591372372,0.14707941890251305,0.5780260455093865,0.1736610177431991,0.13898317197202317,0.658687040326823,0.7282515609048673,0.7208551868176462,0.5919148812887551,0.32999009620116093,0.3333333333333333
"The NS Hub starts construction, opening from 2023. The Hub will have green features and smart technology, and will be open to the public with sports facilities, food outlets and a childcare centre.",0,Title,"(479, 'ms')","(38513, 'zh')","(11298, 'ta')","(549, 'ms')","(4385, 'ta')","(14942, 'en')","(32177, 'en')","(97424, 'en')","(50304, 'zh')","(21837, 'zh')","(6164, 'ta')","(567, 'ms')",p=1.000
"The NS Hub starts construction, opening from 2023. The Hub will have green features and smart technology, and will be open to the public with sports facilities, food outlets and a childcare centre.",1,BWE-Agg-Add,0.4471968960128243,0.3696806747834305,0.5173175655697383,0.3595354679521381,0.5259833499759902,0.6377382702837918,0.706624793150643,0.6570610751778581,0.4186591551205805,0.39715151746188154,0.493945857697548,0.0974672329628431,0.3333333333333333
"The NS Hub starts construction, opening from 2023. The Hub will have green features and smart technology, and will be open to the public with sports facilities, food outlets and a childcare centre.",2,BWE-Agg-IDF,0.45371526635564696,0.296054902177491,0.5211668785884782,0.3751310968693871,0.5356399724715486,0.5769634240251532,0.7166225793430723,0.6385125546575247,0.37117119668354537,0.3927943386320349,0.5031012196527357,0.09017929444467028,0.3333333333333333
"The NS Hub starts construction, opening from 2023. The Hub will have green features and smart technology, and will be open to the public with sports facilities, food outlets and a childcare centre.",3,LASER,0.68957338631016,0.6691386436385847,0.24882983001576067,0.6828081048608515,0.15146933234707516,0.5345972533707953,0.5385083525492906,0.45627591904735904,0.6867903589628779,0.7014520362835771,0.4362019609699405,0.6871125254643429,0.3333333333333333
"Biopolis will be expanded with Phase 6 to cater for biotechnology start-ups, which will be completed by mid-2022. At the same time, NSG BioLabs is launched.",0,Title,"(606, 'ms')","(62846, 'en')","(3313, 'ta')","(92421, 'en')","(7333, 'zh')","(13239, 'zh')","(7649, 'ta')","(187, 'ms')","(38078, 'zh')","(4391, 'ta')","(176, 'ms')","(60630, 'en')",p=0.017
"Biopolis will be expanded with Phase 6 to cater for biotechnology start-ups, which will be completed by mid-2022. At the same time, NSG BioLabs is launched.",1,BWE-Agg-Add,0.19980237646013393,0.5939285960048256,0.34764069267711983,0.6196681474525736,0.3831663414382024,0.2017301180114861,0.4825629789771815,0.2836295689893639,0.3874625217142109,0.4392244072568793,0.42245433048799047,0.6040275756602422,0.20244246656504616
"Biopolis will be expanded with Phase 6 to cater for biotechnology start-ups, which will be completed by mid-2022. At the same time, NSG BioLabs is launched.",2,BWE-Agg-IDF,0.16451015564137353,0.5290841060662158,0.32773863842310047,0.5601288663474029,0.33350963703976777,0.17884356890133718,0.47137643452187317,0.2804374700924352,0.36560526545908173,0.42838799981300113,0.4116624248137603,0.5855509475749583,0.20244246656504616
"Biopolis will be expanded with Phase 6 to cater for biotechnology start-ups, which will be completed by mid-2022. At the same time, NSG BioLabs is launched.",3,LASER,0.6888534180933817,0.38177784405660403,0.38191518227236987,0.6043547287814641,0.6225644607710341,0.6960881164349166,0.21080448816402741,0.6656899609550042,0.6300741999176895,0.2649127567350167,0.7392932310267211,0.3705171879590616,0.5951150668699077
