Queries,,Model,Article1/Ranking,Article2/Ranking,Article3/Ranking,Article4/Ranking,Article5/Ranking,Article6/Ranking,Article7/Ranking,Article8/Ranking,Article9/Ranking,Article10/Ranking,Article11/Ranking,Article12/Ranking,Article13/Ranking,Article14/Ranking,Article15/Ranking,Article16/Ranking,Article17/Ranking,Article18/Ranking,Article19/Ranking,Article20/Ranking,Article21/Ranking,Article22/Ranking,Article23/Ranking,Article24/Ranking,"Non-parametric (Friedman, Nemenyi)","Non-parametric (Friedman, Nemenyi) (New)"
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,2,BWE-Agg-IDF,0.4908161790826286,0.7393440057449017,0.3092471664886571,0.30908930961183284,0.3831305935528078,0.32134675282407515,0.26669157187419,0.21535282621632496,0.3186472138435663,0.48235497965288704,0.22670724177848495,0.4354548379647334,0.22917036915691447,0.32788121106513024,0.14914644956176767,0.3307374981694408,0.19111888328062038,0.35148462408567727,0.2851564792735177,0.46324961237858314,0.4310981634769667,0.43930010892973326,0.20161663012271797,0.3817328021201321,0.4307552203478785,0.13951288114703755
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,3,LASER,0.6882045193072515,0.3729548227985013,0.19740431251210344,0.6137146093204283,0.27379071650281706,0.5978318366587531,0.1085276688175253,0.5734873952680276,0.6712929593435126,0.3425190810831006,0.33176023338464544,0.6880175535376075,0.22405459318770268,0.4979805326458407,0.2168060312109891,0.6644594844190035,0.17720263503229652,0.4416514232401746,0.6323185211941715,0.3199377421272564,0.6807505112298204,0.4053125253860664,0.6726959156885043,0.6971674321599386,0.5239987730711192,0.3117002358796395
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,4,LASER-meta,0.6651657898011576,0.6555637172088739,0.520253040320935,0.6145751121474393,0.6063215558897589,0.5180331951362044,0.21687075430208647,0.5692725916340793,0.6328749293044986,0.6286447373180767,0.6731727383244089,0.6311641924031851,0.5881853081630481,0.506196836396461,0.1335357250169954,0.5576156563014124,0.45451498998701234,0.6411449648398446,0.5451517252726223,0.6301521138149065,0.5906546836004275,0.5806763839460148,0.6185573632599627,0.574686576821268,0.01727939216816979,0.001902538440906329
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,5,Ensemble-model,0.576189323117609,0.5832975203821938,0.3163375207921179,0.45223484022384614,0.38971539478758477,0.4388916764623608,0.21078752815655002,0.3874353838360171,0.4751508064031855,0.4447256875428072,0.3500872659588927,0.5495868929817591,0.3000518815738462,0.41124929636317975,0.18321210458057446,0.4714818279079726,0.24385928640672344,0.44110765814902664,0.4341471707277079,0.4268359415980304,0.5235591484604164,0.43398278825001735,0.4265168049979867,0.5071152830751539,0,0.5399686326461719
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",0,Title,"(10160, 'zh')","(492, 'ms')","(63187, 'en')","(9606, 'ta')","(2167, 'en')","(3871, 'ta')","(212, 'ms')","(67221, 'en')","(650, 'ms')","(85334, 'en')","(713, 'ta')","(27471, 'zh')","(646, 'ms')","(15867, 'zh')","(13040, 'ta')","(1949, 'ta')","(93438, 'en')","(31758, 'zh')","(7016, 'ta')","(29, 'ms')","(1950, 'zh')","(271, 'ms')","(4713, 'en')","(32955, 'zh')",p=0.161137,p=0.067204
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",1,BWE-Agg-Add,0.3343778020583007,0.36176151647321286,0.6975355894523161,0.23742465283626132,0.7630138041033386,0.3154526749290532,0.5454727356365715,0.7916140815080064,0.6441713081071306,0.7400074950914213,0.2786341243973694,0.4360075771148984,0.7237854263053376,0.28374153356691817,0.2615758622042652,0.253516191739249,0.7620881222138273,0.4886759704825994,0.24157321711036328,0.5384089903859068,0.40311249979386665,0.12251809245736639,0.7596276016063939,0.559307451765302,0.15946854115418035,0.06873243436859168
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",2,BWE-Agg-IDF,0.37933725171973226,0.26353814513638363,0.7762843426548969,0.22560034146680447,0.8035978731442945,0.30123501233723,0.4376067090706198,0.8335405660248414,0.623067001058767,0.7774852984478443,0.28241567232142883,0.4632801657285098,0.7290235671347206,0.2948064530751501,0.2484494337516037,0.24360160556473562,0.7893821770851861,0.48671877023497456,0.22061594442496552,0.5516526480708587,0.4933963277357736,0.13034037773628956,0.7524468421320766,0.640196221312641,0.33353323561215137,0.23161231452484932
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",3,LASER,0.6311492446363777,0.6370061787965283,0.3009413965253091,0.2192785419439322,0.29657177910405674,0.5866778500885627,0.6552274622504636,0.6762010891448184,0.6952494957793847,0.3456349161998263,0.22509261663501975,0.5927644800525712,0.7132308468738344,0.5969451619992612,0.1920776431294403,0.4387406980735125,0.6680057692436174,0.6091009874389297,0.15064924956831577,0.4773093692624115,0.5614880421274534,0.613248824623872,0.7751036320406566,0.6963203627644434,0.372969584017918,0.30610992382674007
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",4,LASER-meta,0.41509269502681745,0.6367900570875892,0.6905041146743609,0.415368682262806,0.7132419101190814,0.4971623423039927,0.5899707932358466,0.7168219716254971,0.6521453892541664,0.7606702495452325,0.5302716168318098,0.5658452977363475,0.6331677805909586,0.4768932833454634,0.40877189876561315,0.5845788331702116,0.7025495930548169,0.5563639903579357,0.49807759122871237,0.6476884094989424,0.5457949551266739,0.5471093457938618,0.7192524262546389,0.652645252378681,0.1340286392157502,0.04444615199178647
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",5,Ensemble-model,0.44580026924623684,0.4833205944250968,0.5906738479062531,0.2659018538753051,0.6208306238979513,0.4302715042117298,0.570075725547293,0.7488961813262334,0.6576323252163141,0.63288626182572,0.31384144722774987,0.5129221191613498,0.7032799951590161,0.41729695708530173,0.26842087070617515,0.3734471495716022,0.7264718452702973,0.5377315325201367,0.2627688038578129,0.5442767407420016,0.49297906998618657,0.3547649596221708,0.754991872748183,0.6314465547752118,0,0.3490991752880325
A faction of the Armed Forces of Gabon attempts a coup d'état.,0,Title,"(434, 'ms')","(43634, 'zh')","(822, 'ms')","(95848, 'en')","(11929, 'en')","(2724, 'ta')","(7042, 'ta')","(12972, 'ta')","(1005, 'ta')","(29033, 'en')","(51156, 'en')","(814, 'ms')","(8849, 'zh')","(50680, 'zh')","(28001, 'zh')","(9398, 'ta')","(19476, 'zh')","(14312, 'zh')","(48324, 'en')","(707, 'ms')","(501, 'ms')","(46132, 'en')","(2330, 'ta')","(429, 'ms')",p=0.000000,p=0.000000
A faction of the Armed Forces of Gabon attempts a coup d'état.,1,BWE-Agg-Add,0.37986145813516736,0.5194874383769802,0.47666403841055244,0.5716481378389187,0.515030723956197,0.44254146173629283,0.4528867247649063,0.3670735552812203,0.4547187194775478,0.6011200556967091,0.5477558156500159,0.18419866393287673,0.30148197617642636,0.40697399674708434,0.39541245153718013,0.3866581171341672,0.304580006110925,0.36194558882494127,0.5508224380505153,0.4075426255571571,0.21788696836722993,0.5513958796307497,0.30864374297529107,0.18260600568829635,0.24475628150798945,0.1899856965182944
A faction of the Armed Forces of Gabon attempts a coup d'état.,2,BWE-Agg-IDF,0.37847242363170963,0.5655142646931851,0.4916167353376241,0.5986492890718499,0.5911200873748852,0.4416152686674478,0.4565422378257312,0.3996357082497732,0.4823881248110449,0.6272416201607689,0.5855485915554203,0.19527362034185128,0.33472121335254496,0.44582597988848766,0.4024640419054081,0.39185362036839416,0.33625785023689275,0.4187708674050542,0.5904413515604284,0.41361844549714954,0.23103076226372732,0.5769228512063965,0.3199840226490558,0.16233858468769752,0.23385206155219607,0.19718724354964343
A faction of the Armed Forces of Gabon attempts a coup d'état.,3,LASER,0.5512996911509002,0.509085499481193,0.5861660871661591,0.3857278190210711,0.358477851548771,0.4956833460351203,0.07539691303964345,0.11783273681882613,0.10276794711340703,0.3260630446676105,0.39650624454956596,0.5637538842378487,0.5010951305966654,0.49630426951161843,0.4841309565797663,0.12689263941208653,0.5193347180649937,0.5212333095674896,0.23455820307576256,0.530945659576877,0.523648617795384,0.3714856944529209,0.10247233152746767,0.5266190038958782,0.5206352038065244,0.30992513008813427
A faction of the Armed Forces of Gabon attempts a coup d'état.,4,LASER-meta,0.6209091350389121,0.5565430978527335,0.6414234084845172,0.5996874936826934,0.6453073596005138,0.5379075302834517,0.5224684341152969,0.5794894861440845,0.5674973482588492,0.6343613624770449,0.6366529031611349,0.5881441952634088,0.5577897735973948,0.5681342393665805,0.6168334816000799,0.5624507055618698,0.5811517488604063,0.585487623257357,0.6568668780436407,0.5394640090438175,0.537484954855365,0.6482489470666515,0.46632417603390003,0.6073743664274499,0.0007564531332900743,1.164339128488946e-05
